City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness,Wind Speed,Country,Date
Eureka,40.8,-124.16,63.0,100,97,1.12,US,1600350659
Verāval,20.9,70.37,82.17,78,94,10.83,IN,1600350870
Rikitea,-23.12,-134.97,71.94,82,94,21.63,PF,1600350871
Vila Velha,-20.33,-40.29,81.0,57,20,16.11,BR,1600350642
Ushuaia,-54.8,-68.3,37.4,59,75,39.15,AR,1600350873
Damietta,31.42,31.81,86.0,70,0,11.41,EG,1600350875
Cape Town,-33.93,18.42,71.01,55,0,6.93,ZA,1600350876
Chunskiy,56.08,99.63,50.81,80,86,5.77,RU,1600350877
Yellowknife,62.46,-114.35,34.0,81,20,2.24,CA,1600350879
Kieta,-6.22,155.63,78.93,84,100,9.48,PG,1600350880
Hobart,-42.88,147.33,41.0,80,20,9.17,AU,1600350794
Cabo San Lucas,22.89,-109.91,79.0,83,20,3.36,MX,1600350602
Letlhakane,-21.42,25.58,95.41,11,69,9.13,BW,1600350883
Saravan,39.72,45.65,87.8,29,20,18.34,AM,1600350885
Hofn,64.25,-15.21,53.6,81,40,21.92,IS,1600350886
Gigmoto,13.78,124.39,79.43,82,100,8.99,PH,1600350887
Busselton,-33.65,115.33,51.01,50,45,10.36,AU,1600350889
Nouakchott,18.09,-15.98,89.6,66,40,18.34,MR,1600350890
George Town,5.41,100.34,84.0,88,40,3.36,MY,1600350891
Ancud,-41.87,-73.82,53.01,71,100,4.0,CL,1600350892
Dhrāngadhra,22.98,71.47,88.95,59,100,6.73,IN,1600350894
Yokadouma,3.52,15.05,75.65,93,100,2.21,CM,1600350895
Tsimmerbude,54.67,20.13,57.2,62,75,20.13,RU,1600350896
Kapaa,22.08,-159.32,80.6,69,90,10.29,US,1600350897
Porto Walter,-8.27,-72.74,90.07,47,55,2.39,BR,1600350899
Voh,-20.97,164.7,66.06,85,48,4.45,NC,1600350900
Tasiilaq,65.61,-37.64,39.2,86,20,12.75,GL,1600350905
Avarua,-21.21,-159.78,71.6,68,100,8.05,CK,1600350665
Port Alfred,-33.59,26.89,64.13,62,0,14.58,ZA,1600350907
Salalah,17.02,54.09,84.2,79,40,12.75,OM,1600350908
Klaksvík,62.23,-6.59,53.6,100,90,9.17,FO,1600350910
Vaini,-21.2,-175.2,71.6,78,40,11.41,TO,1600350911
Bluff,-46.6,168.33,39.0,88,39,8.99,NZ,1600350912
Hong Kong,22.29,114.16,84.0,88,63,1.99,HK,1600350768
Mataura,-46.19,168.86,39.0,88,31,8.99,NZ,1600350916
Port Elizabeth,-33.92,25.57,64.4,59,20,14.99,ZA,1600350917
Hasaki,35.73,140.83,75.2,94,75,4.7,JP,1600350826
Saint Paul Harbor,57.79,-152.41,53.6,76,20,3.36,US,1600350920
New Norfolk,-42.78,147.06,37.0,68,0,3.0,AU,1600350921
Dikson,73.51,80.55,46.51,90,100,11.25,RU,1600350923
Inhambane,-23.86,35.38,78.87,70,5,9.86,MZ,1600350925
Qaanaaq,77.48,-69.36,18.99,79,0,8.93,GL,1600350926
Nizhnevartovsk,60.93,76.55,53.6,62,55,4.47,RU,1600350927
Mount Isa,-20.73,139.5,69.8,37,6,6.26,AU,1600350928
Black River,18.03,-77.85,89.01,74,20,6.93,JM,1600350930
Chokurdakh,70.63,147.92,41.7,89,100,8.57,RU,1600350931
Kaitangata,-46.28,169.85,41.0,72,0,8.01,NZ,1600350932
Tuktoyaktuk,69.45,-133.04,39.2,93,20,9.17,CA,1600350934
Atuona,-9.8,-139.03,77.49,79,25,21.7,PF,1600350935
Libreville,0.39,9.45,82.4,78,20,9.17,GA,1600350936
Lebu,-37.62,-73.65,53.11,86,95,7.45,CL,1600350938
Albany,42.6,-73.97,61.0,78,73,1.16,US,1600350664
Dakar,14.69,-17.44,87.8,74,75,13.87,SN,1600350861
Puerto Gaitán,4.31,-72.08,81.72,71,81,5.53,CO,1600350941
Airai,-8.93,125.41,59.49,100,48,1.79,TL,1600350942
Mar del Plata,-38.0,-57.56,63.0,54,69,26.4,AR,1600350938
Punta Arenas,-53.15,-70.92,39.2,69,40,34.45,CL,1600350696
Chato,-2.64,31.77,83.16,44,88,9.75,TZ,1600350946
Fereydūnkenār,36.69,52.52,84.2,42,0,13.87,IR,1600350947
Nara,34.69,135.8,82.0,46,100,4.34,JP,1600350869
Saskylakh,71.92,114.08,49.37,76,0,8.19,RU,1600350950
Ponta do Sol,32.67,-17.1,75.2,60,75,8.05,PT,1600350951
Upernavik,72.79,-56.15,34.52,85,100,3.87,GL,1600350952
Nikolskoye,59.7,30.79,48.2,87,90,6.71,RU,1600350953
Santa Cruz de la Sierra,-17.8,-63.17,68.0,82,90,12.75,BO,1600350955
Ribeira Grande,38.52,-28.7,71.6,64,20,12.75,PT,1600350956
Hermanus,-34.42,19.23,64.99,60,0,5.01,ZA,1600350936
Tomatlán,19.93,-105.25,75.83,89,98,3.02,MX,1600350958
Coolum Beach,-26.53,153.1,61.0,95,0,3.74,AU,1600350959
Faanui,-16.48,-151.75,77.9,77,0,13.35,PF,1600350961
Roald,62.58,6.13,57.2,58,100,19.46,NO,1600350962
Gabú,12.28,-14.22,87.66,68,81,4.81,GW,1600350963
Mérida,20.97,-89.62,81.0,88,75,6.93,MX,1600350965
Iqaluit,63.75,-68.51,37.4,69,75,9.17,CA,1600350952
Mahébourg,-20.41,57.7,73.4,64,75,11.41,MU,1600350967
Rabo de Peixe,37.8,-25.58,71.6,53,20,11.41,PT,1600350969
Galle,6.04,80.22,80.1,85,19,11.72,LK,1600350971
Aklavik,68.22,-135.01,35.6,100,40,4.7,CA,1600350972
Ust-Nera,64.57,143.2,35.58,81,0,1.95,RU,1600350973
Katete,-0.78,29.75,76.28,60,92,3.78,UG,1600350974
Nizwá,22.93,57.53,95.32,9,0,12.82,OM,1600350976
Baykit,61.67,96.37,55.33,64,100,6.53,RU,1600350977
Lagoa,39.05,-27.98,67.1,58,0,7.45,PT,1600350978
São Filipe,14.9,-24.5,82.11,76,68,4.47,CV,1600350979
Rafai,4.95,23.92,87.24,54,14,2.46,CF,1600350981
Darhan,49.49,105.92,51.78,64,1,2.93,MN,1600350982
Buenaventura,3.88,-77.03,80.2,81,25,2.68,CO,1600350984
Nome,64.5,-165.41,46.4,87,1,8.05,US,1600350986
Chapais,49.78,-74.85,33.8,74,1,13.87,CA,1600350869
East London,-33.02,27.91,66.2,55,0,14.99,ZA,1600350988
Samarai,-10.62,150.67,79.09,86,100,16.71,PG,1600350989
Faya,18.39,42.45,86.0,17,40,4.7,SA,1600350991
Bethel,41.37,-73.41,62.01,93,1,7.0,US,1600350992
Huilong,31.81,121.66,66.99,96,100,1.01,CN,1600350994
Pontes e Lacerda,-15.23,-59.34,95.95,16,92,0.43,BR,1600350793
Hilo,19.73,-155.09,71.6,78,75,8.05,US,1600350997
Bereket,39.24,55.52,73.56,22,0,4.43,TM,1600350998
Kirillov,59.86,38.38,57.2,100,90,6.71,RU,1600350999
Perehonivka,48.54,30.52,84.36,24,98,13.22,UA,1600351002
Butaritari,3.07,172.79,82.6,77,0,14.81,KI,1600351003
Saint-Philippe,-21.36,55.77,75.2,57,49,5.82,RE,1600351004
Jamestown,42.1,-79.24,59.0,93,90,9.17,US,1600350843
Hamilton,39.18,-84.53,62.01,87,20,4.63,US,1600350796
Koungou,-12.73,45.2,82.4,61,5,5.82,YT,1600351007
Rome,43.21,-75.46,60.01,77,90,8.05,US,1600350964
Bonanza,14.03,-84.59,81.7,74,26,0.6,NI,1600351010
Pilar,-9.6,-35.96,80.6,65,75,2.24,BR,1600351011
Buala,-8.14,159.59,78.78,88,100,15.21,SB,1600351015
Shūshtar,32.05,48.86,107.33,8,0,7.7,IR,1600351016
Maceió,-9.67,-35.74,80.6,65,75,2.24,BR,1600351017
Srednekolymsk,67.45,153.68,35.94,85,94,5.97,RU,1600351018
Clyde River,70.47,-68.59,37.4,74,75,5.23,CA,1600351020
Meulaboh,4.14,96.13,79.43,82,100,2.71,ID,1600351021
Provideniya,64.38,-173.3,43.97,91,91,4.81,RU,1600351022
Vestmannaeyjar,63.44,-20.27,50.0,87,75,16.11,IS,1600351023
Kruisfontein,-34.0,24.73,64.99,62,0,8.99,ZA,1600351025
Vestmanna,62.16,-7.17,53.6,100,90,9.17,FO,1600351026
Maxixe,-23.86,35.35,79.34,67,4,9.82,MZ,1600351027
Touros,-5.2,-35.46,82.4,65,75,12.75,BR,1600351028
Severo-Kuril'sk,50.68,156.12,55.38,90,100,8.99,RU,1600351030
Thompson,55.74,-97.86,26.6,86,20,5.82,CA,1600351031
Borgarnes,64.54,-21.92,52.0,76,75,19.46,IS,1600351032
Wilkes-Barre,41.25,-75.88,59.0,87,1,3.33,US,1600350797
Pangnirtung,66.15,-65.71,37.4,64,90,2.42,CA,1600351035
Quito,-0.23,-78.52,55.4,82,40,1.12,EC,1600351037
Fasa,28.94,53.65,89.6,9,0,16.11,IR,1600351020
Barreirinha,-2.79,-57.07,97.9,38,6,3.09,BR,1600351039
Lola,7.8,-8.53,81.0,72,89,2.98,GN,1600351042
Imbituba,-28.24,-48.67,69.8,88,40,2.24,BR,1600351043
Bada,51.39,109.87,43.86,81,0,1.79,RU,1600351044
Daru,-9.08,143.21,78.6,90,100,13.27,PG,1600351046
Oranjestad,12.52,-70.03,86.0,74,20,8.05,AW,1600351047
Banyo,6.75,11.82,77.09,75,44,5.59,CM,1600351048
Castro,-24.79,-50.01,74.46,61,85,1.54,BR,1600351049
Zhigansk,66.77,123.37,40.28,79,0,0.25,RU,1600351051
Bethanien,-26.5,17.16,86.79,10,0,4.63,NA,1600351052
Kyrylivka,46.38,35.37,72.54,49,1,12.68,UA,1600351053
Yar-Sale,66.83,70.83,47.95,86,100,8.9,RU,1600351054
Bathsheba,13.22,-59.52,87.8,66,20,4.7,BB,1600351056
Half Moon Bay,37.46,-122.43,64.0,100,90,3.36,US,1600351057
Botucatu,-22.89,-48.45,87.3,27,0,6.08,BR,1600351058
São Gabriel da Cachoeira,-0.13,-67.09,86.4,60,79,3.15,BR,1600351059
San Andrés,12.58,-81.7,80.6,88,40,2.24,CO,1600351025
Muzhi,65.37,64.67,47.07,82,100,16.22,RU,1600351062
Vardø,70.37,31.11,48.2,61,20,14.99,NO,1600351063
Los Andes,-32.83,-70.6,66.99,71,3,4.7,CL,1600350827
Rāmānuj Ganj,23.8,83.7,81.36,74,100,1.7,IN,1600351066
Jaffna,9.67,80.01,82.26,81,95,23.71,LK,1600350944
El Rusio,14.47,-86.37,71.22,95,86,0.29,HN,1600351069
Tabas,33.6,56.92,91.4,16,0,9.17,IR,1600351070
